work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Senior-level,Full-time,Data Engineer,130000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,250000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,63000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,180000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,150000,US,Remote,US,Medium
2021,Entry-level,Full-time,Data Engineer,45390,GB,Hybrid,GB,Large
2022,Senior-level,Full-time,Data Engineer,250000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,63000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Analyst,97500,US,Remote,US,Large
2022,Senior-level,Full-time,Applied Scientist,212800,US,Remote,US,Medium
2022,Senior-level,Full-time,Applied Scientist,142800,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Scientist,74417,NL,Hybrid,NL,Large
2022,Entry-level,Full-time,Data Scientist,50000,US,Hybrid,DE,Medium
2022,Entry-level,Full-time,Data Analyst,6461,FR,Remote,IN,Large
2022,Senior-level,Full-time,Data Scientist,151800,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,130240,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,165000,US,Remote,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,140250,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,135000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,115000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,179400,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,154000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Medium-level,Full-time,Financial Data Analyst,75000,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Engineer,85048,GR,Remote,GR,Medium
2022,Medium-level,Full-time,Data Engineer,74417,GR,Remote,GR,Medium
2022,Medium-level,Full-time,Data Engineer,100433,GB,Remote,GB,Medium
2022,Medium-level,Full-time,Data Engineer,87878,GB,Remote,GB,Medium
2022,Medium-level,Full-time,Data Engineer,85048,ES,Remote,ES,Medium
2022,Medium-level,Full-time,Data Engineer,74417,ES,Remote,ES,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,104671,GB,Remote,GB,Medium
2022,Senior-level,Full-time,Analytics Engineer,81606,GB,Remote,GB,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,106657,GB,Remote,GB,Medium
2022,Senior-level,Full-time,Data Engineer,83889,GB,Remote,GB,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Analyst,115000,US,On-site,US,Large
2022,Entry-level,Full-time,Data Scientist,31893,ES,Hybrid,ES,Medium
2022,Senior-level,Full-time,Data Operations Analyst,81000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Operations Analyst,66000,US,Remote,US,Medium
2022,Entry-level,Full-time,Data Analyst,46000,US,Remote,US,Large
2022,Entry-level,Full-time,Data Engineer,80000,US,Remote,US,Large
2022,Excutive-level,Full-time,Machine Learning Scientist,200000,US,Remote,US,Small
2022,Excutive-level,Full-time,Machine Learning Scientist,180000,US,Remote,US,Small
2022,Excutive-level,Full-time,AI Scientist,200000,US,Remote,US,Small
2022,Senior-level,Full-time,Data Scientist,204100,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,136100,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,63000,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Scientist,120519,GB,On-site,GB,Medium
2022,Medium-level,Full-time,Data Scientist,112987,GB,On-site,GB,Medium
2021,Entry-level,Part-time,Computer Vision Software Engineer,19073,DK,Hybrid,DK,Large
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,191475,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,141525,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Specialist,95000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Specialist,70000,US,Remote,US,Medium
2022,Medium-level,Full-time,Applied Machine Learning Scientist,75000,BO,Remote,US,Medium
2022,Medium-level,Contract,Analytics Engineer,7500,BO,Hybrid,BO,Medium
2022,Medium-level,Full-time,Data Analyst,113000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Scientist,170000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,130000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Analytics Consultant,113000,US,Remote,US,Large
2022,Medium-level,Full-time,Product Data Analyst,140000,US,Remote,US,Medium
2021,Senior-level,Full-time,Data Analyst,50000,PH,Remote,PH,Small
2022,Medium-level,Full-time,BI Data Analyst,54462,AU,Remote,AU,Medium
2022,Senior-level,Full-time,Data Scientist,175000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,140000,US,On-site,US,Medium
2022,Entry-level,Full-time,3D Computer Vision Researcher,2324,AX,On-site,AL,Large
2022,Senior-level,Full-time,Lead Data Scientist,30298,PT,Hybrid,PT,Small
2022,Senior-level,Full-time,Analytics Engineer,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,160000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Scientist,119300,US,On-site,US,Large
2022,Medium-level,Full-time,Research Scientist,145000,US,Hybrid,US,Large
2022,Senior-level,Full-time,Data Engineer,105000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,90000,US,On-site,US,Medium
2022,Senior-level,Full-time,ETL Developer,146200,US,Remote,US,Medium
2022,Senior-level,Full-time,ETL Developer,124270,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Scientist,225000,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Scientist,160000,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Scientist,55281,NL,Remote,NL,Small
2022,Senior-level,Full-time,Data Engineer,185800,CA,Remote,CA,Medium
2022,Senior-level,Full-time,Data Engineer,137400,CA,Remote,CA,Medium
2022,Senior-level,Full-time,Analytics Engineer,245000,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,180000,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,203500,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,152000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Infrastructure Engineer,186000,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Infrastructure Engineer,148800,US,Remote,US,Medium
2022,Senior-level,Full-time,Lead Machine Learning Engineer,96916,IN,Hybrid,IN,Large
2022,Medium-level,Full-time,Machine Learning Engineer,130563,GB,Hybrid,GB,Large
2022,Entry-level,Full-time,Data Scientist,82000,US,On-site,US,Large
2022,Entry-level,Part-time,Data Scientist,110000,DO,Remote,FR,Medium
2022,Medium-level,Full-time,Applied Machine Learning Scientist,173000,US,Hybrid,US,Medium
2022,Senior-level,Full-time,Data Scientist,203500,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,152000,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,186000,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,148800,US,Remote,US,Medium
2022,Entry-level,Full-time,BI Data Analyst,6314,BR,Remote,BR,Large
2022,Medium-level,Full-time,Data Science Manager,158000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Science Manager,134000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,170000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Scientist,120000,US,Remote,US,Medium
2022,Excutive-level,Full-time,Analytics Engineer,200000,US,Remote,US,Medium
